job_name,req_mem,req_cpus,req_gpus,req_duration,actual_duration,submission_time,start_time,end_time,ran_on
job1,31000000,1,0,86400,29838651,1580141192,1580141192,1580227592,computeNode1
job2,1000000,1,0,172800,19518204,1589856931,1589856931,1590029731,bigMemNode1
job3,8000000,8,0,86400,19467503,1590527240,1590527240,1590613640,bigMemNode1
job4,8000000,8,0,86400,19467382,1590527359,1590527359,1590613759,bigMemNode1
job6,1000000,1,0,259200,19379507,1590586619,1590586619,1590845819,bigMemNode1
job5,1000000,1,0,259200,19381438,1590586619,1590586619,1590845819,bigMemNode1
job7,120000000,32,0,360000,19384619,1590610139,1590610139,1590970139,computeNode1
job9,16000000,1,0,2163600,2,1607433935,1607433935,1607433937,computeNode1
job10,16000000,1,0,2163600,3,1607433935,1607433935,1607433938,computeNode1
job13,20000000,32,2,2160000,4,1607433935,1607433935,1607433939,gpuNode1
job15,20000000,32,2,2160000,4,1607433935,1607433935,1607433939,gpuNode1
job12,20000000,32,2,2160000,4,1607433935,1607433939,1607433943,gpuNode1
job8,20000000,32,2,2160000,4,1607433935,1607433939,1607433943,gpuNode1
job14,20000000,8,1,2160000,3,1607433935,1607433943,1607433946,gpuNode1
job16,20000000,8,1,2160000,3,1607433935,1607433943,1607433946,gpuNode1
job11,20000000,6,1,2160000,3,1607433935,1607433943,1607433946,gpuNode1
job17,16000000,1,0,1803600,3,1607662980,1607662980,1607662983,computeNode1
job18,16000000,1,0,1803600,3,1607662997,1607662997,1607663000,computeNode1
job19,16000000,1,0,1803600,3,1607663016,1607663016,1607663019,computeNode1
job20,16000000,1,0,1803600,3,1607663025,1607663025,1607663028,computeNode1
job21,16000000,1,0,1803600,3,1607663037,1607663037,1607663040,computeNode1
job22,16000000,1,0,1803600,3,1607663050,1607663050,1607663053,computeNode1
job23,16000000,1,0,1803600,2,1607663065,1607663065,1607663067,computeNode1
job24,16000000,1,0,1803600,2,1607663074,1607663074,1607663076,computeNode1
job25,16000000,1,0,1803600,3,1607705981,1607705981,1607705984,computeNode1
job27,16000000,1,0,1803600,2,1608052095,1608052095,1608052097,gpuNode1
job28,16000000,1,0,1803600,3,1608053292,1608053292,1608053295,gpuNode1
job29,16000000,1,0,2163600,2,1608076105,1608076105,1608076107,gpuNode1
