job_name,req_mem,req_cpus,req_gpus,req_duration,actual_duration,submission_time,start_time,end_time,ran_on
job1,31000000,1,0,86400,29838651,1580141192,1580141192,1580227592,computeNode1
job2,1000000,1,0,172800,19518204,1589856931,1589856931,1590029731,computeNode1
job3,8000000,8,0,86400,19467503,1590527240,1590527240,1590613640,computeNode1
job4,8000000,8,0,86400,19467382,1590527359,1590527359,1590613759,computeNode1
job6,1000000,1,0,259200,19379507,1590586619,1590586619,1590845819,computeNode1
job5,1000000,1,0,259200,19381438,1590586619,1590586619,1590845819,computeNode1
job7,120000000,32,0,360000,19384619,1590610139,1590610139,1590970139,computeNode1
job14,20000000,8,1,2160000,3,1607433935,1607433935,1607433938,gpuNode1
job15,20000000,32,2,2160000,4,1607433935,1607433935,1607433939,gpuNode1
job13,20000000,32,2,2160000,4,1607433935,1607433938,1607433942,gpuNode1
job12,20000000,32,2,2160000,4,1607433935,1607433939,1607433943,gpuNode1
job11,20000000,6,1,2160000,3,1607433935,1607433942,1607433945,gpuNode1
job9,16000000,1,0,2163600,2,1607433935,1607433943,1607433945,computeNode1
job16,20000000,8,1,2160000,3,1607433935,1607433943,1607433946,gpuNode1
job10,16000000,1,0,2163600,3,1607433935,1607433943,1607433946,computeNode1
job8,20000000,32,2,2160000,4,1607433935,1607433943,1607433947,gpuNode1
job17,16000000,1,0,1803600,3,1607662980,1607662980,1607662983,computeNode1
job18,16000000,1,0,1803600,3,1607662997,1607662997,1607663000,computeNode1
job19,16000000,1,0,1803600,3,1607663016,1607663016,1607663019,computeNode1
job20,16000000,1,0,1803600,3,1607663025,1607663025,1607663028,computeNode1
job21,16000000,1,0,1803600,3,1607663037,1607663037,1607663040,computeNode1
job22,16000000,1,0,1803600,3,1607663050,1607663050,1607663053,computeNode1
job23,16000000,1,0,1803600,2,1607663065,1607663065,1607663067,computeNode1
job24,16000000,1,0,1803600,2,1607663074,1607663074,1607663076,computeNode1
job25,16000000,1,0,1803600,3,1607705981,1607705981,1607705984,computeNode1
job27,16000000,1,0,1803600,2,1608052095,1608052095,1608052097,computeNode1
job28,16000000,1,0,1803600,3,1608053292,1608053292,1608053295,computeNode1
job29,16000000,1,0,2163600,2,1608076105,1608076105,1608076107,computeNode1
job30,16000000,1,0,1803600,3,1608144330,1608144330,1608144333,computeNode1
job31,16000000,1,0,1803600,3,1608144356,1608144356,1608144359,computeNode1
job32,16000000,1,0,1803600,2,1608175288,1608175288,1608175290,computeNode1
job34,72000000,6,0,1123200,1123226,1608420768,1608420768,1609543968,computeNode1
job35,90000000,6,0,1123200,1123225,1608420920,1608420920,1609544120,computeNode1
job36,90000000,6,0,1123200,1123222,1608421074,1608421074,1609544274,computeNode1
job37,90000000,6,0,1123200,1123208,1608421448,1608421448,1609544648,computeNode2
job38,90000000,6,0,1123200,1123202,1608421780,1608421780,1609544980,computeNode2
job39,90000000,6,0,1036800,1036820,1608514202,1608514202,1609551002,computeNode3
job40,90000000,6,0,1036800,1036810,1608514392,1608514392,1609551192,computeNode3
job41,96000000,6,0,1036800,1036812,1608514539,1608514539,1609551339,computeNode4
job42,84000000,6,0,1036800,1036809,1608515480,1608515480,1609552280,computeNode4
job43,120000000,8,0,1036800,1036822,1608515766,1608515766,1609552566,computeNode5
job44,102000000,6,0,1036800,1036812,1608515866,1608515866,1609552666,computeNode5
job45,102000000,6,0,1036800,1036803,1608515997,1608515997,1609552797,bigMemNode1
job46,120000000,8,0,1036800,1036803,1608516127,1608516127,1609552927,bigMemNode1
job47,84000000,6,0,1036800,1036801,1608516328,1608516328,1609553128,bigMemNode1
job48,96000000,8,0,1036800,1036823,1608516427,1608516427,1609553227,bigMemNode2
job49,280000000,14,0,1036800,1036814,1608516676,1608516676,1609553476,bigMemNode2
job33,16000000,16,1,1200600,1200614,1608397903,1608397903,1609598503,gpuNode1
job26,8000000,8,1,1677600,1677609,1607972617,1607972617,1609650217,gpuNode1
job54,8000000,8,1,1200600,1200600,1608653777,1608653777,1609854377,gpuNode1
job63,400000000,24,0,2419200,3,1608658726,1609854377,1609854380,bigMemNode2
job55,8000000,8,1,1200600,1200616,1608653941,1608653941,1609854541,gpuNode1
job56,8000000,8,1,1200600,1200600,1608654108,1608654108,1609854708,gpuNode1
job57,8000000,8,1,1200600,1200612,1608654186,1608654186,1609854786,gpuNode1
job53,8000000,8,1,1202400,1202400,1608653688,1608653688,1609856088,gpuNode1
job50,128000000,1,0,1296000,1296009,1608576672,1608576672,1609872672,bigMemNode1
job51,128000000,1,0,1296000,1296007,1608576950,1608576950,1609872950,bigMemNode1
job52,12000000,20,0,1296000,1296028,1608589860,1608589860,1609885860,computeNode2
job65,8000000,8,1,1202400,843558,1608664398,1609854541,1610698099,gpuNode1
job59,8000000,8,1,1200600,1200626,1608654322,1609598503,1610799103,gpuNode1
job58,8000000,8,1,1200600,1200622,1608654266,1609598503,1610799103,gpuNode1
job60,8000000,8,1,1202400,1202418,1608654388,1609650217,1610852617,gpuNode1
job67,8000000,8,1,1200600,1200611,1608665142,1609856088,1611056688,gpuNode1
job61,8000000,8,1,1202400,1202420,1608654448,1609854377,1611056777,gpuNode1
job66,16000000,16,1,1202400,1202403,1608664490,1609854786,1611057186,gpuNode1
job64,32000000,32,0,1216800,1216811,1608663506,1609854377,1611071177,computeNode1
job62,400000000,16,0,1249200,1249226,1608658620,1609854377,1611103577,bigMemNode1
job95,2000000,1,0,516600,215883,1609276455,1611057186,1611273069,computeNode1
job98,2000000,1,0,516600,216634,1609276641,1611057186,1611273820,computeNode1
job96,2000000,1,0,516600,221423,1609276475,1611057186,1611278609,computeNode1
job97,2000000,1,0,516600,234716,1609276482,1611057186,1611291902,computeNode1
job94,84000000,6,0,518400,240545,1609263108,1611057186,1611297731,computeNode2
job99,16000000,1,0,345600,266865,1609276862,1611057186,1611324051,computeNode2
job89,256000000,1,0,687600,329598,1609166528,1611057186,1611386784,bigMemNode1
job100,200000000,1,0,345600,345618,1609280539,1611057186,1611402786,bigMemNode1
job92,20000000,20,0,518400,404796,1609256221,1611057186,1611461982,bigMemNode2
job84,32000000,32,0,864000,464862,1609039644,1611057186,1611522048,computeNode4
