job_name,req_mem,req_cpus,req_gpus,req_duration,actual_duration,submission_time,start_time,end_time,ran_on
job1,31000000,1,0,86400,29838651,1580141192,1580141192,1580227592,computeNode1
job2,1000000,1,0,172800,19518204,1589856931,1589856931,1590029731,computeNode1
job3,8000000,8,0,86400,19467503,1590527240,1590527240,1590613640,computeNode1
job4,8000000,8,0,86400,19467382,1590527359,1590527359,1590613759,computeNode1
job6,1000000,1,0,259200,19379507,1590586619,1590586619,1590845819,computeNode1
job5,1000000,1,0,259200,19381438,1590586619,1590586619,1590845819,computeNode1
job7,120000000,32,0,360000,19384619,1590610139,1590610139,1590970139,computeNode1
job9,16000000,1,0,2163600,2,1607433935,1607433935,1607433937,computeNode1
job11,20000000,6,1,2160000,3,1607433935,1607433935,1607433938,gpuNode1
job14,20000000,8,1,2160000,3,1607433935,1607433935,1607433938,gpuNode1
job16,20000000,8,1,2160000,3,1607433935,1607433935,1607433938,gpuNode1
job10,16000000,1,0,2163600,3,1607433935,1607433935,1607433938,computeNode1
job15,20000000,32,2,2160000,4,1607433935,1607433935,1607433939,gpuNode1
job17,16000000,1,0,1803600,3,1607662980,1607662980,1607662983,computeNode1
job13,20000000,32,2,2160000,4,1607433935,1607662980,1607662984,gpuNode1
job12,20000000,32,2,2160000,4,1607433935,1607662980,1607662984,gpuNode1
job18,16000000,1,0,1803600,3,1607662997,1607662997,1607663000,computeNode1
job8,20000000,32,2,2160000,4,1607433935,1607662997,1607663001,gpuNode1
job19,16000000,1,0,1803600,3,1607663016,1607663016,1607663019,computeNode1
job20,16000000,1,0,1803600,3,1607663025,1607663025,1607663028,computeNode1
job21,16000000,1,0,1803600,3,1607663037,1607663037,1607663040,computeNode1
job22,16000000,1,0,1803600,3,1607663050,1607663050,1607663053,computeNode1
job23,16000000,1,0,1803600,2,1607663065,1607663065,1607663067,computeNode1
job24,16000000,1,0,1803600,2,1607663074,1607663074,1607663076,computeNode1
job25,16000000,1,0,1803600,3,1607705981,1607705981,1607705984,computeNode1
job27,16000000,1,0,1803600,2,1608052095,1608052095,1608052097,computeNode1
job28,16000000,1,0,1803600,3,1608053292,1608053292,1608053295,computeNode1
job29,16000000,1,0,2163600,2,1608076105,1608076105,1608076107,computeNode1
job30,16000000,1,0,1803600,3,1608144330,1608144330,1608144333,computeNode1
job31,16000000,1,0,1803600,3,1608144356,1608144356,1608144359,computeNode1
job32,16000000,1,0,1803600,2,1608175288,1608175288,1608175290,computeNode1
job95,2000000,1,0,516600,215883,1609276455,1609276455,1609492338,computeNode1
job98,2000000,1,0,516600,216634,1609276641,1609276641,1609493275,computeNode3
job89,256000000,1,0,687600,329598,1609166528,1609166528,1609496126,bigMemNode1
job96,2000000,1,0,516600,221423,1609276475,1609276475,1609497898,computeNode1
job138,200000000,1,0,86340,86349,1609417210,1609417210,1609503550,bigMemNode2
job84,32000000,32,0,864000,464862,1609039644,1609039644,1609504506,computeNode4
job177,20000000,20,0,518400,3,1609436069,1609507217,1609507220,computeNode4
job233,8000000,8,0,1296000,4,1609450356,1609507217,1609507221,computeNode4
job178,20000000,20,0,518400,3,1609436439,1609511174,1609511177,computeNode4
job232,8000000,8,0,1296000,4,1609450356,1609511174,1609511178,computeNode4
job97,2000000,1,0,516600,234716,1609276482,1609276482,1609511198,computeNode3
job175,20000000,20,0,518400,4,1609432661,1609512913,1609512917,computeNode4
job231,8000000,8,0,1296000,4,1609450356,1609512913,1609512917,computeNode4
job83,20000000,20,0,518400,518401,1608994639,1608994639,1609513039,computeNode4
job270,4000000,1,0,90000,8418,1609481868,1609507217,1609515635,computeNode1
job237,8000000,8,0,1296000,4,1609450357,1609517076,1609517080,computeNode4
job236,8000000,8,0,1296000,4,1609450357,1609517076,1609517080,computeNode4
job234,8000000,8,0,1296000,4,1609450357,1609517076,1609517080,computeNode4
job240,8000000,8,0,1296000,4,1609450358,1609517076,1609517080,computeNode4
job239,8000000,8,0,1296000,4,1609450358,1609517076,1609517080,computeNode4
job235,8000000,8,0,1296000,4,1609450357,1609517076,1609517080,computeNode4
job238,8000000,8,0,1296000,4,1609450358,1609517261,1609517265,computeNode4
job241,8000000,8,0,1296000,4,1609450360,1609517261,1609517265,computeNode4
job246,8000000,8,0,1296000,4,1609450361,1609517261,1609517265,computeNode4
job243,8000000,8,0,1296000,4,1609450361,1609517261,1609517265,computeNode4
job245,8000000,8,0,1296000,4,1609450361,1609517261,1609517265,computeNode4
job244,8000000,8,0,1296000,4,1609450361,1609517261,1609517265,computeNode4
job242,8000000,8,0,1296000,4,1609450361,1609519430,1609519434,computeNode4
job250,8000000,8,0,1296000,4,1609450362,1609519430,1609519434,computeNode4
job249,8000000,8,0,1296000,4,1609450362,1609519430,1609519434,computeNode4
job251,8000000,8,0,1296000,4,1609450363,1609519430,1609519434,computeNode4
job248,8000000,8,0,1296000,4,1609450362,1609519430,1609519434,computeNode4
job247,8000000,8,0,1296000,4,1609450362,1609519430,1609519434,computeNode4
job307,20000000,20,0,518400,3,1609519474,1609519474,1609519477,computeNode4
job273,50000000,1,0,72000,15843,1609507217,1609507217,1609523060,bigMemNode1
job283,256000000,1,0,342000,1396,1609511174,1609529543,1609530939,bigMemNode1
job305,32000000,1,0,82800,12980,1609517261,1609519474,1609532454,computeNode4
job324,20000000,1,0,82800,1616,1609529543,1609532240,1609533856,bigMemNode1
job376,12000000,6,0,43200,62,1609535380,1609535380,1609535442,computeNode4
job385,10000000,1,0,82800,8,1609535748,1609535748,1609535756,computeNode4
job304,16000000,1,0,86340,16759,1609517078,1609519489,1609536248,computeNode4
job387,10000000,1,0,82800,9,1609535748,1609536417,1609536426,computeNode4
job386,10000000,1,0,82800,9,1609535748,1609536417,1609536426,computeNode4
job384,10000000,1,0,82800,9,1609535748,1609536417,1609536426,computeNode4
job383,10000000,1,0,82800,12,1609535748,1609536623,1609536635,computeNode4
job382,10000000,1,0,82800,12,1609535748,1609536623,1609536635,computeNode4
job381,10000000,1,0,82800,12,1609535748,1609536623,1609536635,computeNode4
job388,1000000,4,0,43200,303,1609536417,1609536417,1609536720,computeNode1
job380,10000000,1,0,82800,12,1609535748,1609536759,1609536771,computeNode4
